Sample,TE,All_reads,HQ_reads
SRR14138506,1360,37.49,23.01
SRR14138506,6,0.51,0.11
SRR14138506,1731,8.98,8.00
SRR14138506,297,22.74,16.61
SRR14138506,412,10.19,5.36
SRR14138506,accord,11.18,8.10
SRR14138506,accord2,5.70,4.43
SRR14138506,Baggins1,52.31,45.93
SRR14138506,Bari1,3.17,2.84
SRR14138506,Bari2,0.53,0.31
SRR14138506,BEL,20.30,18.12
SRR14138506,Bica,4.56,4.29
SRR14138506,blood,8.36,7.40
SRR14138506,BS,10.02,4.99
SRR14138506,BS2,15.93,0.53
SRR14138506,BS3,9.22,7.30
SRR14138506,BS4,2.65,1.95
SRR14138506,Burdock,9.56,8.44
SRR14138506,Chimpo,6.77,6.31
SRR14138506,Chouto,7.99,6.06
SRR14138506,Circe,6.87,6.01
SRR14138506,copia,9.60,8.86
SRR14138506,copia2,2.47,0.07
SRR14138506,diver,5.58,4.69
SRR14138506,diver2,46.62,35.58
SRR14138506,Dm88,2.76,0.03
SRR14138506,DMRT1A,122.44,108.85
SRR14138506,DMRT1C,36.60,27.14
SRR14138506,DNAREP1,243.04,63.20
SRR14138506,DNAREP1-like,5.41,0.02
SRR14138506,Doc,9.88,8.69
SRR14138506,Doc2,12.81,12.16
SRR14138506,Doc3,20.28,17.35
SRR14138506,Doc4,2.25,1.63
SRR14138506,Doc5,6.36,5.27
SRR14138506,dsec_Antennapedia,0.95,0.95
SRR14138506,dsec_Osi6,1.09,1.08
SRR14138506,dsec_wingless,1.05,1.04
SRR14138506,F-element,31.86,9.10
SRR14138506,family-0_Copia-like,4.73,0.58
SRR14138506,family-0_MULE-NOF,7.18,0.84
SRR14138506,family-100_HMS-beagle,0.01,0.00
SRR14138506,family-105_gypsy,0.44,0.20
SRR14138506,family-110_gypsy_SAP,19.95,17.41
SRR14138506,family-1124_gypsy-frag,2.18,1.79
SRR14138506,family-113_micropia-like,0.64,0.31
SRR14138506,family-117_gypsy,10.24,4.03
SRR14138506,family-1205_Tc3,0.01,0.00
SRR14138506,family-134_gypsy,6.16,2.23
SRR14138506,family-139_FW2-like,28.71,5.46
SRR14138506,family-1439_Tc3,0.49,0.01
SRR14138506,family-149_HMS-beagle,0.04,0.00
SRR14138506,family-15_G-like,5.78,0.09
SRR14138506,family-2202_Pao,3.03,1.27
SRR14138506,family-2226_Tc1-like,1.39,0.28
SRR14138506,family-2266_Blastopia-like,0.03,0.00
SRR14138506,family-252_hAT_BEDzf,0.33,0.18
SRR14138506,family-325_gypsy,5.59,4.23
SRR14138506,family-358_hAT,3.19,2.36
SRR14138506,family-3655_gypsy,0.52,0.18
SRR14138506,family-3830_accord-like,1.46,1.09
SRR14138506,family-4408_gypsy,3.77,0.04
SRR14138506,family-447_HETA-like,2.69,0.42
SRR14138506,family-4955_hAT,0.65,0.39
SRR14138506,family-49_Tc3,0.08,0.00
SRR14138506,family-5171_Pao,0.01,0.00
SRR14138506,family-53_gypsy_truncated,9.88,2.23
SRR14138506,family-58_micropia-like,11.62,10.98
SRR14138506,family-6086_diver,3.86,1.74
SRR14138506,family-63_micropia-like,8.23,6.56
SRR14138506,family-70_diver-like,4.21,0.48
SRR14138506,family-70_Diver2-like,3.11,1.42
SRR14138506,family-7121_ninja-like,7.09,3.87
SRR14138506,family-732_gypsy,6.51,4.82
SRR14138506,family-92_copia-like,0.00,0.00
SRR14138506,family-966_Pao,3.53,1.12
SRR14138506,family-999_gypsy,0.34,0.03
SRR14138506,FB,24.28,8.82
SRR14138506,flea,23.19,21.94
SRR14138506,frogger,1.21,0.90
SRR14138506,Fw2,4.62,3.67
SRR14138506,Fw3,1.47,1.03
SRR14138506,G-element,3.04,0.00
SRR14138506,G2,6.11,2.23
SRR14138506,G3,0.20,0.09
SRR14138506,G4,3.70,3.22
SRR14138506,G5,41.16,31.78
SRR14138506,G5A,15.80,10.44
SRR14138506,G6,129.97,124.99
SRR14138506,GATE,25.93,21.80
SRR14138506,Gedeo_Dmel,14.56,10.96
SRR14138506,gtwin,1.86,0.52
SRR14138506,gypsy,5.17,2.88
SRR14138506,gypsy10,0.48,0.08
SRR14138506,gypsy11,1.96,0.71
SRR14138506,gypsy12,9.82,4.57
SRR14138506,gypsy12A,4.29,1.54
SRR14138506,gypsy2,0.52,0.15
SRR14138506,gypsy2S,0.90,0.30
SRR14138506,gypsy3,2.63,1.22
SRR14138506,gypsy4,6.06,5.30
SRR14138506,gypsy5,0.86,0.13
SRR14138506,gypsy6,7.05,1.84
SRR14138506,gypsy7,1.52,1.11
SRR14138506,gypsy8,13.91,5.91
SRR14138506,gypsy9,1.57,0.90
SRR14138506,HB,16.46,8.49
SRR14138506,Helena,17.76,16.59
SRR14138506,HeT-A,1.69,0.04
SRR14138506,HMS-Beagle,11.44,8.56
SRR14138506,hobo,9.55,7.58
SRR14138506,hopper,3.98,0.02
SRR14138506,hopper2,0.97,0.17
SRR14138506,I-element,24.46,20.24
SRR14138506,Idefix,5.33,2.44
SRR14138506,invader1,7.21,5.04
SRR14138506,invader2,20.88,18.82
SRR14138506,invader3,20.51,18.54
SRR14138506,invader4,1.77,0.61
SRR14138506,invader5,0.82,0.29
SRR14138506,Ivk,7.68,6.41
SRR14138506,jockey,14.24,13.94
SRR14138506,jockey2,4.31,2.65
SRR14138506,Juan,13.68,13.55
SRR14138506,looper1,1.18,0.82
SRR14138506,M4DM,12.64,3.25
SRR14138506,mariner2,5.03,3.66
SRR14138506,Max-element,38.03,33.39
SRR14138506,McClintock,4.75,0.19
SRR14138506,mdg1,4.09,2.78
SRR14138506,mdg3,5.06,3.79
SRR14138506,micropia,18.90,15.85
SRR14138506,Minos_DM,0.13,0.01
SRR14138506,ninja-aurora,14.90,12.57
SRR14138506,NOF,1.68,1.23
SRR14138506,Nomad,12.27,9.40
SRR14138506,P-element,0.00,0.00
SRR14138506,Phanio_Dmel,9.61,6.53
SRR14138506,Phidippo_Dmel,5.14,3.95
SRR14138506,Pifo_A,0.08,0.05
SRR14138506,pogo,0.00,0.00
SRR14138506,Quasimodo,0.21,0.00
